id,title,time,date,link
,Posture of the Navy,09:30AM,03/05/20," https://www.armed-services.senate.gov/hearings/20-03-05-posture-of-the-navy- "
,Navy Shipbuilding Programs,10:00AM,03/04/20," https://www.armed-services.senate.gov/hearings/20-03-04-navy-shipbuilding-programs- "
,CLOSED: United States European Command and United States Transportation Command,02:30PM,02/25/20," https://www.armed-services.senate.gov/hearings/20-02-25-united-states-european-command-and-united-states-transportation-command-b "
,United States European Command and United States Transportation Command,09:30AM,02/25/20," https://www.armed-services.senate.gov/hearings/20-02-25-united-states-european-command-and-united-states-transportation-command "
,United States Northern Command and United States Strategic Command,09:30AM,02/13/20," https://www.armed-services.senate.gov/hearings/20-02-13-united-states-northern-command-and-united-states-strategic-command "
,United States Strategy in Afghanistan,09:30AM,02/11/20," https://www.armed-services.senate.gov/hearings/20-02-11-united-states-strategy-in-afghanistan "
,POSTPONED: United States Special Operations Command and United States Cyber Command,10:00AM,02/06/20," https://www.armed-services.senate.gov/hearings/20-02-06-united-states-special-operations-command-and-united-states-cyber-command "
,United States Africa Command and United States Southern Command,09:00AM,01/30/20," https://www.armed-services.senate.gov/hearings/20-01-30-united-states-africa-command-and-united-states-southern-command "
,POSTPONED: United States Strategy in Afghanistan,09:00AM,01/28/20," https://www.armed-services.senate.gov/hearings/20-01-28-united-states-strategy-in-afghanistan "
,Nominations -- McPherson -- Williams,09:00AM,01/16/20," https://www.armed-services.senate.gov/hearings/20-01-16-nominations_--mcpherson----williams "
,CLOSED: Situation and U.S. Strategy in Afghanistan,02:30PM,12/11/19," https://www.armed-services.senate.gov/hearings/19-12-11-situation-and-us-strategy-in-afghanistan "
,"Strategic Threats, Ongoing Challenges, and National Defense Strategy Implementation",09:30AM,12/05/19," https://www.armed-services.senate.gov/hearings/19-12-05-strategic-threats-ongoing-challenges-and-national-defense-strategy-implementation "
,"Servicemember, Family, and Veteran Suicides and Prevention Strategies",03:00PM,12/04/19," https://www.armed-services.senate.gov/hearings/19-12-04-servicemember-family-and-veteran-suicides-and-prevention-strategies "
,United States Navy Ship and Submarine Maintenance,10:00AM,12/04/19," https://www.armed-services.senate.gov/hearings/19-12-04-united-states-navy-ship-and-submarine-maintenance "
,Government Accountability Office on Privatized Housing Findings to Include Responses from the Military Services on Ongoing Reports of Substandard Housing Conditions and Services,09:30AM,12/03/19," https://www.armed-services.senate.gov/hearings/19-12-03-government-accountability-office-on-privatized-housing-findings-to-include-responses-from-the-military-services-on-ongoing-reports-of-substandard-housing-conditions-and-services "
,Biological Threats to U.S. National Security,03:00PM,11/20/19," https://www.armed-services.senate.gov/hearings/19-11-20-biological-threats-to-us-national-security "
,CLOSED: Implementation of the 2018 Department of Defense Cyber Strategy,02:30PM,11/20/19," https://www.armed-services.senate.gov/hearings/19-11-20-implementation-of-the-2018-department-of-defense-cyber-strategy "
,Department of Defense Audit,09:30AM,11/20/19," https://www.armed-services.senate.gov/hearings/19-11-20-department-of-defense-audit "
,POSTPONED: CLOSED: Department of Defense Cyber Operations,02:30PM,10/30/19," https://www.armed-services.senate.gov/hearings/19-10-30-department-of-defense-cyber-operations "
,Nominations -- Hershman -- Deasy -- Sander,09:30AM,10/29/19," https://www.armed-services.senate.gov/hearings/19-10-29-nominations_--hershman----deasy----sander "
,Nomination -- Richard,09:00AM,10/24/19," https://www.armed-services.senate.gov/hearings/19-10-24-nomination_--richard "
,CLOSED: U.S. Navy’s “Spectrum of Conflict” Strategic Framework,10:00AM,10/23/19," https://www.armed-services.senate.gov/hearings/19-10-23-us-navys-spectrum-of-conflict-strategic-framework "
,CLOSED: Situation in Syria and the Wider Region,09:00AM,10/17/19," https://www.armed-services.senate.gov/hearings/19-10-17-situation-in-syria-and-the-wider-region "
,Situation in Southeastern Europe,03:00PM,09/17/19," https://www.armed-services.senate.gov/hearings/19-09-17-situation-in-southeastern-europe "
,Nominations -- McCarthy - Barrett,09:30AM,09/12/19," https://www.armed-services.senate.gov/hearings/19-09-12-nominations_--mccarthy---barrett "
,Nomination -- Gilday,09:30AM,07/31/19," https://www.armed-services.senate.gov/hearings/19-07-30-nomination_--gilday "
,Nomination -- Hyten,10:00AM,07/30/19," https://www.armed-services.senate.gov/hearings/19-07-30-nomination_--hyten "
,Nomination -- Norquist,10:00AM,07/24/19," https://www.armed-services.senate.gov/hearings/19-07-24-nomination_--norquist "
